Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm)
U10,VL822 Q7,TopLayer,QFN-76_L9.0-W9.0-P0.40-EP6.3-TL,50.7492mm,67.1830mm,135,,50.7492mm,67.1830mm,51.3509mm,61.4913mm
U9,VL160,BottomLayer,MQFN-28_L4.5-W3.5-P0.40-BL-EP,58.7502mm,69.2404mm,270,,58.7502mm,69.2404mm,60.4502mm,71.0402mm
U8,P25Q21H,BottomLayer,SOP8_L,75.9306mm,60.5282mm,0,,75.9306mm,60.5282mm,73.4306mm,58.6232mm
U7,JMS578,BottomLayer,QFN48-L6.0-W6.0-P0.4,82.4512mm,53.4004mm,270,,82.4512mm,53.4004mm,80.2512mm,56.4004mm
U6,P25Q21H,BottomLayer,SOP8_L,75.9306mm,41.2242mm,0,,75.9306mm,41.2242mm,73.4306mm,39.3192mm
U5,P25Q21H,BottomLayer,SOP8_L,75.9306mm,22.1488mm,0,,75.9306mm,22.1488mm,73.4306mm,20.2438mm
U4,JMS578,BottomLayer,QFN48-L6.0-W6.0-P0.4,82.4484mm,34.0868mm,270,,82.4484mm,34.0868mm,80.2484mm,37.0868mm
U3,JMS578,BottomLayer,QFN48-L6.0-W6.0-P0.4,82.4484mm,15.0114mm,270,,82.4484mm,15.0114mm,80.2484mm,18.0114mm
U2,TPS54202DDCR,TopLayer,SOT23-6L,3.0632mm,45.5422mm,180,DCDC Convert,3.0632mm,45.5422mm,4.0132mm,46.9392mm
R55,4.7K 1%,TopLayer,R0402_L,58.1152mm,69.3928mm,45,贴片电阻,58.1152mm,69.3928mm,57.8147mm,69.0923mm
R54,4.7K 1%,TopLayer,R0402_L,51.7076mm,74.5744mm,0,贴片电阻,51.7076mm,74.5744mm,51.2826mm,74.5744mm
R53,10K 1%,TopLayer,R0402_L,48.0568mm,74.0664mm,315,贴片电阻,48.0568mm,74.0664mm,47.7563mm,74.3669mm
R52,4.7K 1%,TopLayer,R0402_L,49.7586mm,74.5744mm,180,贴片电阻,49.7586mm,74.5744mm,50.1836mm,74.5744mm
R51,1M 1%,TopLayer,R0402_L,47.2948mm,73.3044mm,135,贴片电阻,47.2948mm,73.3044mm,47.5953mm,73.0039mm
R50,4.7K 1%,TopLayer,R0402_L,45.7454mm,74.5744mm,180,贴片电阻,45.7454mm,74.5744mm,46.1704mm,74.5744mm
